Entity,Relationship,Value
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,Electrolytes (Diagnostic Procedure)
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,Alpha-fetoprotein (Diagnostic Procedure)
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,Thyroid function tests (Diagnostic Procedure)
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,"AAQP / Amino Acids, Quantitative, Plasma (Diagnostic Procedure)"
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,"OAU / Organic Acids Screen, Random, Urine (Diagnostic Procedure)"
Elevated or normal Tyrosine and Elevated Succinylacetone (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,"TYRBS / Tyrosinemia Follow-Up Panel, Blood Spot (Diagnostic Procedure)"
Results consistent with Tyrosinemia Type 1 (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),require,"TYRGP / Tyrosine Disorders Gene Panel, Variants (Diagnostic Procedure)"
Results not consistent with Tyrosinemia Type 1 (Finding) (Newborn_Screen_Followup_Elevated_Normal_Tyrosine_Elevated_Succinylacetone),leads_to,Stop false-positive newborn screen (Activity)
Suspicious personal/family history of cancer (Finding) (Lynch_Syndrome_Testing_Algorithm),initiates,Assessment of prior family genetic testing (Healthcare Activity)
Known pathogenic variant in family (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,Familial Variant Targeted Testing (Diagnostic Procedure)
Negative or uncertain family genetic test result (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,Tumor testing availability check (Healthcare Activity)
Available tumor specimen (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MSI and MMR IHC testing (Diagnostic Procedure)
Unavailable tumor specimen (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,Lynch syndrome or hereditary cancer panel testing (Diagnostic Procedure)
MSI-H and MLH1/PMS2 loss (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MLH1 germline testing (Diagnostic Procedure) if younger onset or suggestive family history
Negative MLH1 germline testing (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,Comprehensive germline panel or genetics referral (Diagnostic Procedure)
MSI-H and MLH1/PMS2 loss in endometrial tumor (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,"MLH1 Hypermethylation Analysis, Tumor (Diagnostic Procedure)"
No MLH1 hypermethylation in endometrial tumor (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MLH1 and PMS2 germline testing (Diagnostic Procedure)
MLH1 hypermethylation in endometrial tumor (Finding) (Lynch_Syndrome_Testing_Algorithm),suggests,"Sporadic origin or MLH1 Hypermethylation Analysis, Blood (Diagnostic Procedure)"
MSI-H and MLH1/PMS2 loss in colorectal tumor (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,"MLH1 Hypermethylation and BRAF Mutation Analysis, Tumor (Diagnostic Procedure)"
Hypermethylation with BRAF negative (Finding) (Lynch_Syndrome_Testing_Algorithm),suggests,"Sporadic origin or MLH1 Hypermethylation Analysis, Blood (Diagnostic Procedure) if suspicion remains"
No hypermethylation with BRAF negative (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MLH1 and PMS2 germline testing (Diagnostic Procedure)
Hypermethylation with BRAF positive (Finding) (Lynch_Syndrome_Testing_Algorithm),indicates,Sporadic origin and no further testing
MSI-H and MSH2/MSH6 loss (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MSH2 and MSH6 germline testing (Diagnostic Procedure)
Negative MSH2/MSH6 germline testing (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MLH1 germline testing (Diagnostic Procedure)
MSI-H and MSH6 loss (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MSH6 germline testing (Diagnostic Procedure)
Negative MSH6 germline testing (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,MSH2 germline testing (Diagnostic Procedure)
MSI-low or MSS with intact MMR proteins (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,Comprehensive germline panel or genetics referral (Diagnostic Procedure) if younger onset
MSI-low or MSS with intact MMR proteins (Finding) (Lynch_Syndrome_Testing_Algorithm),prompts,Optional comprehensive germline panel or genetics referral (Diagnostic Procedure) if older onset with suspicious family history
Malignant lymphoma (Disease or Syndrome) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),diagnosed by,Lymph node or extra-nodal tissue (Diagnostic Procedure)
Malignant lymphoma (Disease or Syndrome) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),classified by,Bone marrow morphology (Diagnostic Procedure)
Bone marrow morphology: involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,Flow cytometry (Diagnostic Procedure)
Bone marrow morphology: involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,B-cell gene rearrangement (Diagnostic Procedure)
Bone marrow morphology: involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,T-cell gene rearrangement (Diagnostic Procedure)
Bone marrow morphology: involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,Chromosome analysis (Diagnostic Procedure)
Bone marrow morphology: involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,FISH (Diagnostic Procedure)
Bone marrow morphology: not involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,Flow cytometry (Diagnostic Procedure)
Bone marrow morphology: not involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,B-cell gene rearrangement (Diagnostic Procedure)
Bone marrow morphology: not involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,T-cell gene rearrangement (Diagnostic Procedure)
Bone marrow morphology: not involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,Chromosome analysis (Diagnostic Procedure)
Bone marrow morphology: not involved by ML (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),obviates need for,FISH (Diagnostic Procedure)
Bone marrow morphology: equivocal or concern for occult disease (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),indicates,Flow cytometry (Diagnostic Procedure)
Bone marrow morphology: equivocal or concern for occult disease (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),indicates,Immunohistochemical stains (Diagnostic Procedure)
Bone marrow morphology: equivocal or concern for occult disease (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),indicates,FISH (Diagnostic Procedure)
Bone marrow morphology: equivocal or concern for occult disease (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),excludes,Chromosome analysis (Diagnostic Procedure)
Anaplastic large cell lymphoma (Disease or Syndrome) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),requires,CD30 immunohistochemistry (Diagnostic Procedure)
Bone marrow for pretransplant evaluation or MDS suspicion (Finding) (Malignant_Lymphoma__Guideline_for_Bone_Marrow_Staging_Studies),indicates,Chromosome analysis (Diagnostic Procedure)
Newborn screen (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_),finds,Elevated guanidinoacetate (Finding)
Elevated guanidinoacetate (Finding) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_),triggers,"Creatine Disorders Panel, Urine (Diagnostic Procedure)"
Elevated guanidinoacetate (Finding) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_),triggers,"Creatine Disorders Panel, Plasma (Diagnostic Procedure)"
"Creatine Disorders Panel, Urine (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_)",produces,Results consistent with GAMT deficiency (Finding)
"Creatine Disorders Panel, Plasma (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_)",produces,Results consistent with GAMT deficiency (Finding)
Results consistent with GAMT deficiency (Finding) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_),indicates,GAMT deficiency (Disease or Syndrome)
GAMT deficiency (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_),requires,"Custom Gene Panel, Hereditary, Next-Generation Sequencing (Diagnostic Procedure)"
Results not consistent with GAMT deficiency (Finding) (Newborn_Screen_Follow-up_for_Guanidinoacetate_Methyltransferase_Deficiency__GAMT_),excludes,GAMT deficiency (Disease or Syndrome)
Reduced GALC + Elevated PSY (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Indicates,Infantile Krabbe disease (Disease or Syndrome)
Infantile Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,Referral to Genetics Specialist (Therapeutic or Preventive Procedure)
Infantile Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,Hematopoietic stem cell transplant (Therapeutic or Preventive Procedure)
Reduced GALC + Mildly elevated PSY (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Suggests,Late-onset Krabbe disease (Disease or Syndrome)
Late-onset Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,GALCW test (Diagnostic Procedure)
Late-onset Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,PSYR test (Diagnostic Procedure)
Late-onset Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,KRABZ test (Diagnostic Procedure)
Late-onset Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),May require,Repeat GALC (Diagnostic Procedure)
Late-onset Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),May require,Molecular analysis (Diagnostic Procedure)
Deficient GALC + Abnormal PSYR + Genotype consistent with Krabbe (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Indicates,Krabbe disease (Disease or Syndrome)
Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,Referral to Genetics Specialist (Therapeutic or Preventive Procedure)
Krabbe disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,Monitoring (Therapeutic or Preventive Procedure)
Normal GALC + PSY abnormal or normal + Genotype not consistent with Krabbe (Finding) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Suggests,Saposin A deficiency (Disease or Syndrome)
Saposin A deficiency (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Krabbe_Disease_Galactocerebrosidase_and_Psychosine),Requires,CGPH / Custom Gene Panel (Diagnostic Procedure)
Adult onset proximal myopathy phenotype (Disease or Syndrome) (Neuromuscular_Myopathy_Testing_Algorithm),requires,MBX / Muscle Pathology Consultation (Diagnostic Procedure)
Inflammatory immune cause found (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,Disorder-specific management (Therapeutic or Preventive Procedure)
Inflammatory immune cause not found (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,MUPAN / Comprehensive Neuromuscular Gene Panel (Diagnostic Procedure)
Specific muscular dystrophy phenotypes (Disease or Syndrome) (Neuromuscular_Myopathy_Testing_Algorithm),requires,MUPAN / Comprehensive Neuromuscular Gene Panel (Diagnostic Procedure)
Early onset myopathy or categorical myopathy (Disease or Syndrome) (Neuromuscular_Myopathy_Testing_Algorithm),requires,Tests To Consider (Clinical Decision Support)
Duchenne muscular dystrophy phenotype (Disease or Syndrome) (Neuromuscular_Myopathy_Testing_Algorithm),requires,"DMDZ / DMD Gene, Full Gene Analysis (Diagnostic Procedure)"
Positive DMD Gene Analysis result (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,Disorder-specific management (Therapeutic or Preventive Procedure)
Negative DMD Gene Analysis result (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,MUPAN / Comprehensive Neuromuscular Gene Panel (Diagnostic Procedure)
No Duchenne muscular dystrophy phenotype (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,MUPAN / Comprehensive Neuromuscular Gene Panel (Diagnostic Procedure)
Mitochondrial cause suspected (Disease or Syndrome) (Neuromuscular_Myopathy_Testing_Algorithm),requires,MBX / Muscle Pathology Consultation (Diagnostic Procedure)
Muscle biopsy supports mitochondrial cause (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,MITOP / Mitochondrial Full Genome Analysis (Diagnostic Procedure)
Muscle biopsy supports mitochondrial cause (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,NMITO / Nuclear Mitochondrial Gene Panel (Diagnostic Procedure)
Muscle biopsy supports mitochondrial cause (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,MITO / Combined Mitochondrial Full Genome and Nuclear Gene Panel (Diagnostic Procedure)
Muscle biopsy does not support mitochondrial cause (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,MUPAN / Comprehensive Neuromuscular Gene Panel (Diagnostic Procedure)
Definitive cause found via MUPAN (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,Disorder-specific management (Therapeutic or Preventive Procedure)
No or inconclusive MUPAN result (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),requires,Correlate DNA variants with muscle biopsy findings (Interpretation)
Muscle biopsy not performed (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),requires,MBX / Muscle Pathology Consultation (Diagnostic Procedure)
Recommended functional metabolic assays (Diagnostic Procedure) (Neuromuscular_Myopathy_Testing_Algorithm),assess,Variant causality (Finding)
Variant supported as causal (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,Disorder-specific management (Therapeutic or Preventive Procedure)
Variant not supported as causal (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,WESDX / Whole Exome Sequencing for Hereditary Disorders (Diagnostic Procedure)
Variant not supported as causal (Finding) (Neuromuscular_Myopathy_Testing_Algorithm),leads to,"NMSI / Neuromuscular Evaluation, Serum (Diagnostic Procedure)"
Newborn screen result (Finding) (Newborn_Screen_Follow-up_for_Gaucher_Disease),prompts,"Beta-Glucosidase, Leukocytes test (Diagnostic Procedure)"
Newborn screen result (Finding) (Newborn_Screen_Follow-up_for_Gaucher_Disease),prompts,Glucopsychosine test (Diagnostic Procedure)
"Beta-Glucosidase, Leukocytes test (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Gaucher_Disease)",yields,GBA activity (Finding)
Glucopsychosine test (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Gaucher_Disease),yields,Glucopsychosine level (Finding)
Decreased GBA activity with Elevated Glucopsychosine (Finding) (Newborn_Screen_Follow-up_for_Gaucher_Disease),confirms,Gaucher disease (Disease or Syndrome)
Gaucher disease (Disease or Syndrome) (Newborn_Screen_Follow-up_for_Gaucher_Disease),requires,Referral to Genetics Specialist (Healthcare Activity)
Referral to Genetics Specialist (Healthcare Activity) (Newborn_Screen_Follow-up_for_Gaucher_Disease),may_include,"GBA2 / Gaucher Disease, Full Gene Analysis, Variants (Diagnostic Procedure)"
"GBA2 / Gaucher Disease, Full Gene Analysis, Variants (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Gaucher_Disease)",confirms,Gaucher disease (Disease or Syndrome)
"GBA2 / Gaucher Disease, Full Gene Analysis, Variants (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Gaucher_Disease)",detects,None or 1 disease-causing variant (Finding)
"GBA2 / Gaucher Disease, Full Gene Analysis, Variants (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Gaucher_Disease)",rules_out,Gaucher disease (Disease or Syndrome)
Decreased GBA activity with Normal Glucopsychosine (Finding) (Newborn_Screen_Follow-up_for_Gaucher_Disease),prompts,"GBA2 / Gaucher Disease, Full Gene Analysis, Variants (Diagnostic Procedure)"
Normal GBA activity with Normal Glucopsychosine (Finding) (Newborn_Screen_Follow-up_for_Gaucher_Disease),rules_out,Gaucher disease (Disease or Syndrome)
Myeloproliferative neoplasm suspicion (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),initiates,Bone marrow testing (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Hematopathology Consultation (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Chromosome Analysis (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Bone Marrow Aspirate (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Bone Marrow Biopsy (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,BCR-ABL1 p190 or p210 Quantitative Assay (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Complete Blood Count (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Cytogenetics (Diagnostic Procedure)
Bone marrow testing (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),includes,Erythropoietin test (Diagnostic Procedure)
Positive BCR-ABL1 result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),supports diagnosis of,Chronic myeloid leukemia (Disease or Syndrome)
Chronic myeloid leukemia (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),managed by,Chronic Myeloid Leukemia Algorithm (Guideline)
Negative BCR-ABL1 result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),leads to,Bone marrow morphology analysis (Diagnostic Procedure)
Bone marrow morphology suspicious for MPN (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),suggests,"Polycythemia vera, Essential thrombocythemia, Primary myelofibrosis, Post-ET/PV myelofibrosis, or MPN-unclassified (Disease or Syndrome)"
Suspicious bone marrow morphology for MPN (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires,PV/AK test (Diagnostic Procedure)
Suspicious bone marrow morphology for MPN (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires,NGSHM test (Diagnostic Procedure)
Suspicious bone marrow morphology for MPN (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires,MPNR test (Diagnostic Procedure)
Not suspicious bone marrow morphology for MPN (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),leads to,Erythrocytosis evaluation (Diagnostic Procedure)
Erythrocytosis evaluation (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires rule out,"Polycythemia vera, Primary myelofibrosis, Post-ET/PV myelofibrosis, MPN-unclassified (Disease or Syndrome)"
Erythrocytosis evaluation (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires,PV/AK test (Diagnostic Procedure)
Erythrocytosis evaluation (Diagnostic Procedure) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires,MPNR test (Diagnostic Procedure)
PV/AK positive result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),suggests,Polycythemia vera (Disease or Syndrome)
PV/AK negative result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),requires,REVEZ test (Diagnostic Procedure)
PV/AK negative result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Bone_Marrow_Evaluation),consider,NHEP test (Diagnostic Procedure)
Gilbert or Crigler-Najjar syndromes type I or type II (Disease or Syndrome) (UGT1A1_Test-Ordering_Algorithm),requires,UGT1A1 promoter TA repeat polymorphisms and *6 allele analysis (Gene or Genome)
UGT1A1 promoter TA repeat polymorphisms and *6 allele analysis (Gene or Genome) (UGT1A1_Test-Ordering_Algorithm),is performed by,U1A1Q / UDP-Glucuronosyltransferase 1A1 TA Repeat Genotype (Diagnostic Procedure)
Carrier screening for Gilbert or Crigler-Najjar syndromes type I or type II (Diagnostic Procedure) (UGT1A1_Test-Ordering_Algorithm),requires,UGT1A1 full gene sequence analysis (Gene or Genome)
UGT1A1 full gene sequence analysis (Gene or Genome) (UGT1A1_Test-Ordering_Algorithm),is performed by,UGTFZ / UDP-Glucuronosyltransferase 1A1 Full Gene Sequencing (Diagnostic Procedure)
Drug metabolism assessment for drug toxicity (Diagnostic Procedure) (UGT1A1_Test-Ordering_Algorithm),requires,UGT1A1 full gene sequence analysis (Gene or Genome)
Possible Zika virus exposure (Finding) (Zika_Pregnant),requires screening for,Pregnancy (Finding)
Pregnancy (Finding) (Zika_Pregnant),requires evaluation of,Zika virus signs or symptoms (Finding)
Non-pregnant status (Finding) (Zika_Pregnant),excludes routine,Zika virus testing (Diagnostic Procedure)
Non-pregnant status (Finding) (Zika_Pregnant),indicates possible,Dengue virus testing (Diagnostic Procedure)
Symptomatic status ≤12 weeks (Finding) (Zika_Pregnant),requires,Zika virus rRT-PCR (Diagnostic Procedure)
Symptomatic status ≤12 weeks (Finding) (Zika_Pregnant),requires,Dengue virus testing (Diagnostic Procedure)
Positive Zika virus rRT-PCR (Finding) (Zika_Pregnant),indicates,Acute Zika infection (Disease or Syndrome)
Negative Zika rRT-PCR and negative Zika IgM (Finding) (Zika_Pregnant),rules out,Zika virus infection (Disease or Syndrome)
Positive dengue IgM/NS1 antigen/PCR (Finding) (Zika_Pregnant),indicates,Recent dengue virus infection (Disease or Syndrome)
Negative dengue IgM/NS1 antigen/PCR (Finding) (Zika_Pregnant),rules out,Dengue virus infection (Disease or Syndrome)
Asymptomatic travelers returning from Zika-endemic areas (Finding) (Zika_Pregnant),does not routinely require,Zika virus testing (Diagnostic Procedure)
Asymptomatic travelers returning from Zika-endemic areas (Finding) (Zika_Pregnant),may consider,Zika virus rRT-PCR (Diagnostic Procedure)
Clinical suspicion of myeloproliferative neoplasm (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,CBC (Diagnostic Procedure)
Clinical suspicion of myeloproliferative neoplasm (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,Peripheral blood smear (Diagnostic Procedure)
Clinical suspicion of myeloproliferative neoplasm (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,BCR/ABL1 test (Diagnostic Procedure)
Positive BCR/ABL1 result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),initiates,Chronic Myeloid Leukemia Algorithm (Diagnostic Procedure)
Negative BCR/ABL1 result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),supports,Suspicion for polycythemia vera (Disease or Syndrome)
Suspicion for polycythemia vera (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),leads to,JAK2 V617F with reflex to JAK2 Exon 12-15 test (Diagnostic Procedure)
Positive JAK2 result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),confirms,Polycythemia vera (Disease or Syndrome)
Negative JAK2 result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),supports,Clinical suspicion for MPN (Disease or Syndrome)
High suspicion for MPN (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,CALR with reflex to MPL test (Diagnostic Procedure)
Low suspicion for MPN (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,Erythrocytosis evaluation test (Diagnostic Procedure)
No suspicion for polycythemia vera (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),leads to,JAK2 V617F with reflex to CALR and MPL test (Diagnostic Procedure)
Positive JAK2/CALR/MPL result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,Bone marrow study (Diagnostic Procedure)
Negative JAK2/CALR/MPL result (Finding) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),supports,Clinical suspicion for MPN (Disease or Syndrome)
High suspicion for MPN (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),requires,Bone marrow study (Diagnostic Procedure)
Low suspicion for MPN (Disease or Syndrome) (Myeloproliferative_Neoplasm_A_Diagnostic_Approach_to_Peripheral_Blood_Evaluation),leads to,No further testing (Procedure)
Initial newborn screen (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II),detects,Decreased iduronate-2-sulfatase activity (Finding)
Initial newborn screen (Diagnostic Procedure) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II),detects,Elevated dermatan and heparan sulfate (Finding)
Abnormal newborn screen (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II),prompts,"Iduronate-2-Sulfatase, Leukocytes test (Diagnostic Procedure)"
Abnormal newborn screen (Finding) (Newborn_Screen_Follow-up_for_Mucopolysaccharidosis_Type_II),prompts,"Mucopolysaccharidosis, Blood Spot test (Diagnostic Procedure)"
